# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 37, mean observations per image: 0
1 0.01727616 0.01727616 0.70689570 -0.70689570 4.13866893 7.70700000 2.29184260 1 044.JPG

2 0.01727616 0.01727616 0.70689570 -0.70689570 2.85895116 7.72600000 2.20923503 1 045.JPG

3 0.01727616 0.01727616 0.70689570 -0.70689570 2.26924878 7.71600000 2.21248218 1 046.JPG

4 0.01727616 0.01727616 0.70689570 -0.70689570 1.08003823 7.70900000 2.17845012 1 047.JPG

5 0.01727616 0.01727616 0.70689570 -0.70689570 -0.34090589 7.69200000 2.11643878 1 048.JPG

6 0.01727616 0.01727616 0.70689570 -0.70689570 -0.55464931 7.93100000 2.05843694 1 049.JPG

7 0.01727616 0.01727616 0.70689570 -0.70689570 -0.56801256 8.46700000 2.07874175 1 050.JPG

8 0.01727616 0.01727616 0.70689570 -0.70689570 -0.60837833 9.13600000 2.10967529 1 051.JPG

9 0.01727616 0.01727616 0.70689570 -0.70689570 -0.60373414 9.57900000 2.13436260 1 052.JPG

10 0.01727616 0.01727616 0.70689570 -0.70689570 -0.55446810 9.57400000 2.15943981 1 053.JPG

11 0.01727616 0.01727616 0.70689570 -0.70689570 -0.58972605 9.40600000 2.29388396 1 054.JPG

12 0.01727616 0.01727616 0.70689570 -0.70689570 -0.54208789 9.28800000 2.26004629 1 055.JPG

13 0.01727616 0.01727616 0.70689570 -0.70689570 -0.57932528 9.95200000 2.22013525 1 056.JPG

14 0.01727616 0.01727616 0.70689570 -0.70689570 -0.59332892 10.77200000 2.19933981 1 057.JPG

15 0.01727616 0.01727616 0.70689570 -0.70689570 -0.55800826 11.52700000 2.25467603 1 058.JPG

16 0.01727616 0.01727616 0.70689570 -0.70689570 -7.02319102 16.28300000 2.06081799 1 085.JPG

17 0.01727616 0.01727616 0.70689570 -0.70689570 -7.01520714 14.88200000 2.04574762 1 086.JPG

18 0.01727616 0.01727616 0.70689570 -0.70689570 -7.03377301 13.53400000 2.03356383 1 087.JPG

19 0.01727616 0.01727616 0.70689570 -0.70689570 -6.98106800 12.13200000 2.08658726 1 088.JPG

20 0.01727616 0.01727616 0.70689570 -0.70689570 -6.99446132 10.79800000 2.17680804 1 089.JPG

21 0.01727616 0.01727616 0.70689570 -0.70689570 -7.00915916 9.95400000 2.20258384 1 090.JPG

22 0.01727616 0.01727616 0.70689570 -0.70689570 -6.99226859 9.02000000 2.19136374 1 091.JPG

23 0.01727616 0.01727616 0.70689570 -0.70689570 -6.96645402 8.04600000 2.21839890 1 092.JPG

24 0.01727616 0.01727616 0.70689570 -0.70689570 -6.97406711 7.25500000 2.19242816 1 093.JPG

25 0.01727616 0.01727616 0.70689570 -0.70689570 -6.95183816 6.68200000 2.15932415 1 094.JPG

26 0.01727616 0.01727616 0.70689570 -0.70689570 -8.28467907 4.65500000 2.10024629 1 106.JPG

27 0.01727616 0.01727616 0.70689570 -0.70689570 -8.24453106 4.65800000 2.09038629 1 107.JPG

28 0.01727616 0.01727616 0.70689570 -0.70689570 -8.22265905 4.63900000 1.28261738 1 108.JPG

29 0.01727616 0.01727616 0.70689570 -0.70689570 -8.18074444 4.67500000 0.37502828 1 109.JPG

30 0.01727616 0.01727616 0.70689570 -0.70689570 -8.69688207 4.65600000 0.33485633 1 110.JPG

31 0.01727616 0.01727616 0.70689570 -0.70689570 -13.17933320 6.76300000 0.27803764 1 118.JPG

32 0.01727616 0.01727616 0.70689570 -0.70689570 -13.17111789 7.50700000 0.65807144 1 119.JPG

33 0.01727616 0.01727616 0.70689570 -0.70689570 -13.17708018 8.03200000 1.38464514 1 120.JPG

34 0.01727616 0.01727616 0.70689570 -0.70689570 -13.17257252 8.46000000 2.17509002 1 121.JPG

35 0.01727616 0.01727616 0.70689570 -0.70689570 -13.14280153 9.10300000 2.22122322 1 122.JPG

36 0.01727616 0.01727616 0.70689570 -0.70689570 -13.15063236 9.88800000 2.21632606 1 123.JPG

37 0.01727616 0.01727616 0.70689570 -0.70689570 -13.17748181 10.62800000 2.20698728 1 124.JPG
